,Day,Month,Year,Latitud,Longitud,Sierra,Hierro,PIT,LC_capture,Ancho_capture,Plastron_capture,Peso_capture,lcclass,Birth_year,Release_year,release,Stage,Sex,Age_release,Age_capture,mod.ID,dup.ID,Sex_capture,Sex_stage,Sex_retro
33,26,2,1988,,,14023,,41847043,78.9,80.3,55.5,25,70,1970.5,1975,0,Adulta,Hembra,4.5,17.5,3,FALSE,Hembra,Indeterminada,Indeterminada
38,24,11,1994,,,14023,,41847043,84.7,85.3,59,62,80,1970.5,1975,0,Adulta,Macho,4.5,23.5,3,FALSE,Macho,Indeterminada,Indeterminada
39,30,8,2000,-1.36802,-89.67603,14023,23,41847043,88.3,86.6,61,,80,1970.5,1975,0,Adulta,Macho,4.5,29.5,3,FALSE,Macho,Indeterminada,Indeterminada
41,14,5,1975,,,14024,24,42005564,24.5,25.1,,1.4,20,1970.5,1975,1,Juvenil,Indeterminada,4.5,4.5,4,FALSE,Indeterminada,Indeterminada,Macho
42,17,1,1976,,,14024,,42005564,26.5,27.2,,1.7,20,1970.5,1975,0,Juvenil,,4.5,5.5,4,FALSE,Indeterminada,Indeterminada,Macho
44,21,7,1978,,,14024,,42005564,32,34,,7.5,30,1970.5,1975,0,Juvenil,,4.5,7.5,4,FALSE,Indeterminada,Indeterminada,Macho
43,11,4,1977,,,14024,,42005564,34.8,36.3,,4.2,30,1970.5,1975,0,Juvenil,,4.5,6.5,4,FALSE,Indeterminada,Indeterminada,Macho
45,1,7,1979,,,14024,,42005564,46,47,,10,40,1970.5,1975,0,Juvenil,,4.5,8.5,4,FALSE,Indeterminada,Indeterminada,Macho
46,11,11,1980,,,14024,,42005564,54,55,,12.5,50,1970.5,1975,0,Adulta,,4.5,9.5,4,FALSE,,Macho,Macho
47,14,5,1981,,,14024,,42005564,56.6,59,,4,50,1970.5,1975,0,Adulta,,4.5,10.5,4,FALSE,,Macho,Macho
48,2,11,1982,,,14024,,42005564,62,64.1,,12,60,1970.5,1975,0,Adulta,,4.5,11.5,4,FALSE,,Macho,Macho
53,28,2,1988,,,14024,,42005564,67.9,71.6,49,,60,1970.5,1975,0,Adulta,Macho,4.5,17.5,4,FALSE,Macho,Macho,Macho
49,21,2,1984,,,14024,,42005564,69,69.2,,29.7,60,1970.5,1975,0,Adulta,,4.5,13.5,4,FALSE,,Macho,Macho
50,7,2,1985,,,14024,,42005564,71,73,,19.7,70,1970.5,1975,0,Adulta,,4.5,14.5,4,FALSE,,Macho,Macho
51,2,5,1986,,,14024,,42005564,73.8,75.4,54.3,28,70,1970.5,1975,0,Adulta,,4.5,15.5,4,FALSE,,Macho,Macho
52,30,4,1987,,,14024,,42005564,75.8,75.6,55.7,29,70,1970.5,1975,0,Adulta,,4.5,16.5,4,FALSE,,Macho,Macho
54,24,2,1989,,,14024,,42005564,76.6,78.6,56.3,35,70,1970.5,1975,0,Adulta,Macho,4.5,18.5,4,FALSE,Macho,Macho,Macho
56,12,6,1991,,,14024,,42005564,79,81,58,34,70,1970.5,1975,0,Adulta,Macho,4.5,20.5,4,FALSE,Macho,Macho,Macho
55,19,6,1990,,,14024,,42005564,80,80.9,42.3,41,80,1970.5,1975,0,Adulta,,4.5,19.5,4,FALSE,,Macho,Macho
58,22,11,1994,,,14024,,42005564,81.4,82.8,59.2,60,80,1970.5,1975,0,Adulta,Macho,4.5,23.5,4,FALSE,Macho,Macho,Macho
57,10,6,1993,,,14024,,42005564,84,78,68,32.8,80,1970.5,1975,0,Adulta,Macho,4.5,22.5,4,FALSE,Macho,Macho,Macho
