"","Estimate","Std. Error","t value","Pr(>|t|)"
"(Intercept)",4.59251758280995,0.0754528805387665,60.8660338746164,7.14418923886443e-321
"IslandSanta Fe",-0.561706518501742,0.084507503557283,-6.64682418551143,5.19165644804494e-11
