"","Modnames","K","QAICc","Delta_QAICc","ModelLik","QAICcWt","Quasi.LL","c_hat","Cum.Wt"
"2","year",8,462.041082075609,0,1,0.474669544907502,-222.060541037805,1.25353903773881,0.474669544907502
"5","tortoises (5 yr)",9,463.477939612031,1.43685753642171,0.487517657732305,0.231409784730164,-221.522753589799,1.25353903773881,0.706079329637666
"4","tortoises",9,464.186623002795,2.14554092718549,0.342059539969919,0.162365246168791,-221.877095285181,1.25353903773881,0.868444575806457
"1","null",3,465.003216866796,2.96213479118717,0.227394838549777,0.107937404528737,-229.351608433398,1.25353903773881,0.976381980335195
"3","habitat",11,469.095026272062,7.05394419645307,0.0293937827459602,0.0139523334791349,-221.714179802698,1.25353903773881,0.99033431381433
"7","habitat + tortoises (5 yr)",12,470.894138121132,8.85305604552309,0.011955928405282,0.00567511509508189,-221.249885961975,1.25353903773881,0.996009428909412
"6","habitat + tortoises",12,471.598451107334,9.55736903172436,0.00840705103877278,0.00399057109058842,-221.602042455075,1.25353903773881,1
