"","edf","Ref.df","F","p-value"
"s(LC_capture)",8.04765011373154,8.70025818778665,3797.6887035182,0
"s(LC_capture):Island_ordSanta Fe",3.40759978213136,4.19535729780569,22.7753019622142,5.24410451137058e-19
"s(ID)",0.000894529070947508,1176,7.51683751555572e-07,0.576481357209931
