"","Estimate","Std. Error","t value","Pr(>|t|)"
"(Intercept)",4.53255279821202,0.0346884792795775,130.664499924634,0
"IslandSanta Fe",0.0589817479044847,0.0422052903773769,1.39749655498403,0.162367138933654
