"","Date","PIT","Frecuencia","Latitud","Longitud","LC_cm","Days_ellapsed"
"87",2015-06-27,48072302,"150,561",-0.82076,-90.060063,NA,0
"88",2015-06-27,48312363,"150,581",-0.82076,-90.060063,NA,0
"89",2015-06-27,48065632,"150,661",-0.82076,-90.060063,NA,0
"90",2015-06-27,48367602,"150,681",-0.82076,-90.060063,NA,0
"91",2015-06-27,48319324,"150,741",-0.82076,-90.060063,NA,0
"92",2015-06-27,48280264,"150,762",-0.82076,-90.060063,NA,0
"93",2015-06-27,48318085,"150,818",-0.82076,-90.060063,NA,0
"94",2015-06-27,48275040,"150,841",-0.82076,-90.060063,NA,0
"95",2015-06-27,48275840,"150,861",-0.82076,-90.060063,NA,0
"96",2015-06-27,48344016,"150,921",-0.82076,-90.060063,NA,0
"97",2015-06-27,48284579,"150,981",-0.82076,-90.060063,NA,0
