"","edf","Ref.df","F","p-value"
"s(mid_lc)",5.40334248350895,6.57342711644278,25.1667755560696,0
"s(mid_lc):Island_ordSanta Fe",1.00001612490789,1.00002923376199,29.1071269497403,6.74651029430873e-07
"s(spi5)",8.21263142327911,8.74395168958668,13.6112502688608,0
"s(ID)",60.0044665237069,597,0.112575622861232,0.0686048238472252
