ch	age_release	length	weight	release_cohort
1110110110	7.5	35.5	3.05	2015
1110110101	7.5	25.8	1.5	2015
1000010110	6.5	26.8	1.7	2015
1110110000	7.5	35.7	1.7	2015
1110000000	8.5	36	4.8	2015
1000000010	6.5	30.4	2.6	2015
1110110101	5.5	25.5	1.5	2015
1010000000	4.5	24	1.2	2015
1110100000	7.5	31.7	2.8	2015
1110100100	5.5	29.6	2.25	2015
1010000010	6.5	25.2	1.3	2015
1010110100	4.5	23.7	1.05	2015
1110010001	7.5	32	3.3	2015
1110110001	7.5	34.7	3.5	2015
1110110001	7.5	32.7	3	2015
1010000000	7.5	29.2	2.2	2015
1110110111	4.5	23.6	1.1	2015
1110100111	4.5	23.8	1.3	2015
1000000000	5.5	23.7	1.05	2015
1110110110	4.5	24.1	1.2	2015
1110100011	4.5	23.8	1.2	2015
1010100000	4.5	25.3	1.3	2015
1010100000	4.5	24.9	1.55	2015
1110110110	5.5	25.2	1.5	2015
1010110110	6.5	30.6	2.8	2015
1000110110	6.5	25	1.3	2015
1010100110	9.5	19.3	0.6	2015
1110110010	4.5	24.2	1.3	2015
1110000101	6.5	27.2	1.7	2015
1110110000	4.5	24.6	1.4	2015
1000000000	7.5	33.5	3	2015
1010110100	6.5	23.6	1.15	2015
1110100000	4.5	23.9	1.25	2015
1010110000	4.5	24	1.1	2015
1010100001	7.5	32	1.9	2015
1110110010	4.5	24	1.15	2015
1110110000	5.5	25.4	1.6	2015
1000000000	5.5	28.1	2.05	2015
0001100010	5.5	27.6	1.842	2017
1110110110	4.5	25.1	1.4	2015
1010100100	6.5	23.3	0.75	2015
1000010111	4.5	23.5	1	2015
1100110111	7.5	28.5	1.8	2015
1010100100	6.5	30.4	2.3	2015
1110110100	4.5	24	1.2	2015
1110110110	4.5	24	1.2	2015
0001100010	4.5	27.3	1.999	2017
0001000000	7.5	24	1.2	2017
0001110101	4.5	25.4	1.4	2017
0001110100	5.5	28	1.839	2017
0001010000	7.5	23.5	1.1	2017
0001110110	4.5	25.3	1.4	2017
0001110010	7.5	25.2	1.7	2017
0001010110	6.5	27.3	2	2017
0001000110	5.5	23.7	0.991	2017
0001010111	7.5	22.3	1	2017
0001110111	4.5	24.9	1.2	2017
0001110111	7.5	24	1.2	2017
0001110001	6.5	27.1	2	2017
0001010110	5.5	24.9	1.305	2017
0001100001	4.5	24.5	1.27	2017
0001010101	5.5	24.7	1.329	2017
0001110111	6.5	26.9	1.7	2017
0001110110	4.5	24.1	1.19	2017
0001010100	7.5	25.6	1.4	2017
0001110101	6.5	24.1	1.2	2017
0001110110	4.5	25	1.3	2017
0001110111	5.5	26.4	1.554	2017
0001110111	7.5	24.6	1.4	2017
0001010011	5.5	23.9	1.23	2017
0001100110	6.5	24.4	1.4	2017
0001010100	7.5	26.5	1.7	2017
0001110110	6.5	27.1	1.7	2017
0001110110	5.5	26.9	1.823	2017
0001110101	5.5	24.1	1.242	2017
0001110111	5.5	25.1	1.534	2017
0001110111	4.5	26.2	1.5	2017
0001000101	7.5	25.2	1.5	2017
0001110011	5.5	27.9	1.53	2017
1110110000	7.5	33.4	3.2	2015
0001110111	6.5	25.7	1.4	2017
0001110110	4.5	24.2	1.2	2017
0001000111	7.5	29	2.2	2017
0001010011	7.5	30	2.5	2017
0001100001	5.5	26.6	1.635	2017
0001000110	7.5	28.1	2.1	2017
0001110111	4.5	26.1	1.37	2017
0001110111	5.5	24.8	1.175	2017
0001110110	5.5	29.6	2.354	2017
0001000000	5.5	25	1.196	2017
0001110010	5.5	24.7	1.261	2017
0001010101	6.5	28	2.1	2017
0001110010	5.5	26.6	1.744	2017
0001110110	5.5	26.5	1.742	2017
0001110100	7.5	26.6	1.6	2017
0001100010	7.5	27.5	2	2017
0001100001	6.5	26.9	1.6	2017
0001110000	5.5	24.2	1.391	2017
0001110000	4.5	25.4	1.4	2017
0001010100	6.5	27.5	1.9	2017
0001110110	5.5	26.5	1.524	2017
0001110110	5.5	24	1.162	2017
0001000000	7.5	28.3	2	2017
0001110011	7.5	23.8	1.1	2017
0001100110	6.5	27.9	2.2	2017
0001110111	5.5	26.1	1.647	2017
0001110111	5.5	25.5	1.393	2017
0001010111	5.5	24.2	1.085	2017
0001110011	5.5	25.7	1.487	2017
0001000110	7.5	27.7	1.1	2017
0001000000	7.5	24.3	1.2	2017
0001110111	5.5	25.7	1.343	2017
0001110110	4.5	25.3	1.3	2017
0001110111	5.5	23.6	1.504	2017
0001000000	6.5	27.2	1.9	2017
0001110000	5.5	24.9	1.196	2017
0001010110	7.5	26.8	1.8	2017
0001000000	7.5	27.2	1.8	2017
0001010111	6.5	28.5	2.2	2017
0001110110	4.5	24.6	1.2	2017
0001110111	4.5	24.6	1.2	2017
0001000111	5.5	25.9	1.367	2017
0001100000	6.5	26.9	1.8	2017
0001110001	5.5	25.4	1.407	2017
0001000000	6.5	26.9	1.8	2017
0001000010	5.5	24.3	1.27	2017
0001110011	6.5	26.5	1.6	2017
1000000010	5.5	26	1.55	2015
0001100010	5.5	27.8	1.879	2017
0001110101	6.5	27.5	2	2017
0001010111	5.5	25.9	1.537	2017
0001100110	4.5	24.8	1.25	2017
0001110000	4.5	25.2	1.3	2017
0001110111	6.5	27.3	1.8	2017
0001110111	7.5	26	1.5	2017
0001000000	4.5	26.9	1.8	2017
0001010010	4.5	25.1	1.31	2017
0001110111	4.5	26.1	1.6	2017
0001110011	5.5	27	1.718	2017
0001010110	5.5	24.4	1.051	2017
0001110010	5.5	26.5	1.603	2017
0001010100	6.5	27.1	1.3	2017
0001110010	6.5	27.2	2	2017
0001110110	7.5	25	1.5	2017
0001110110	5.5	26.7	1.643	2017
0001110110	4.5	25.2	1.2	2017
0001010110	6.5	27.3	1.2	2017
0001010000	4.5	23.8	1.1	2017
0001110111	6.5	27.3	2	2017
0001110110	5.5	23.5	0.972	2017
0001010000	7.5	26.3	1.5	2017
0001010110	5.5	26.2	1.653	2017
0001110000	4.5	25.3	1.5	2017
0001010010	7.5	29.7	2.2	2017
0001110101	4.5	24.9	1.3	2017
0001100010	7.5	24.9	1.5	2017
0001110110	5.5	26	1.443	2017
0001110111	6.5	26	1.6	2017
0001110000	4.5	25.9	1.4	2017
0001110100	5.5	24.9	1.139	2017
0001010110	4.5	24.1	1.2	2017
0001100000	5.5	26.3	1.479	2017
0001100110	6.5	27.1	2	2017
0001100000	6.5	29.8	2.4	2017
0001110110	5.5	25.6	1.377	2017
0001000001	4.5	26	1.6	2017
0001110110	7.5	25	1.2	2017
0001110111	5.5	25.9	1.529	2017
0001110101	6.5	26.4	0.9	2017
0001110101	6.5	25.1	1.4	2017
0001000111	6.5	28.2	2.1	2017
0001110111	5.5	30.6	2.593	2017
0001110010	6.5	28	2.2	2017
0001010111	6.5	26.6	1.6	2017
0001010100	5.5	26.6	1.489	2017
0001110111	4.5	25.5	1.4	2017
0001110101	5.5	25.6	1.326	2017
0001100111	6.5	24	1.4	2017
0001100000	4.5	25.3	1.2	2017
0001010100	5.5	26.4	1.384	2017
0001110110	4.5	26.9	1.5	2017
0001110010	5.5	25.2	1.265	2017
0001010100	4.5	25.2	1.4	2017
0001000110	5.5	25.1	1.427	2017
0001110110	5.5	23.4	1.027	2017
0001000111	4.5	24.3	1.22	2017
0001010001	6.5	28	2	2017
0001110111	5.5	24	1.153	2017
0001110111	5.5	27.1	1.889	2017
0001110001	6.5	26.5	1.6	2017
0001110110	6.5	24.6	1.3	2017
0001110000	5.5	25.5	1.578	2017
0001100110	7.5	25.2	1.6	2017
0001110111	6.5	31.4	2.9	2017
0001110110	5.5	26.2	1.695	2017
0001010101	4.5	26.7	1.6	2017
0001110100	5.5	23.7	1.217	2017
0001010111	4.5	25.2	1.5	2017
0001110111	4.5	25.3	1.5	2017
0001110000	4.5	26.7	1.6	2017
0001110001	4.5	23.9	1.2	2017
0001010000	4.5	25	1.3	2017
0001110111	5.5	24.8	1.196	2017
0001010111	7.5	27	1.2	2017
0001110010	6.5	25.7	1.55	2017
0001100101	5.5	28.6	2.111	2017
0001100110	4.5	24.6	1.3	2017
0001000000	5.5	25.4	1.251	2017
0001110111	6.5	26.5	1.8	2017
0001000000	5.5	24.3	1.624	2017
0001110101	4.5	24.4	1.2	2017
0001010111	5.5	25.6	1.48	2017
0001110111	5.5	26.6	0.984	2017
0001110011	5.5	26	1.668	2017
0001110001	7.5	25	1.3	2017
0001110110	5.5	26.3	1.453	2017
0001110000	5.5	26.7	1.608	2017
0000001111	6.5	29.9	2.586	2019
0001100001	5.5	27.1	1.781	2017
0001000111	5.5	26	1.462	2017
0001110100	5.5	27	1.78	2017
0001100110	5.5	25.9	1.488	2017
0001110100	5.5	25.7	1.383	2017
0001000011	5.5	26.8	1.849	2017
0001110100	5.5	28.7	2.095	2017
0001000100	5.5	24	1.257	2017
0001110011	5.5	25.9	1.633	2017
0001110000	5.5	29.1	2.2	2017
0001100110	5.5	28.5	2.067	2017
0001010110	5.5	26	1.587	2017
0001110000	5.5	26.5	1.584	2017
0001010110	5.5	24.9	1.277	2017
0001110100	5.5	26.3	1.702	2017
1000110110	7.5	22.5	1	2015
0001110100	5.5	26.9	1.614	2017
0000001111	7.5	28.1	2.082	2019
0000001111	5.5	26.7	1.481	2019
0000001110	7.5	28.3	1.98	2019
0000001010	8.5	29.3	2.206	2019
0000001100	7.5	25.9	1.489	2019
0000001100	7.5	25.3	1.281	2019
0000001001	7.5	25.1	1.38	2019
0000001100	7.5	24.3	1.323	2019
0000001100	5.5	28.1	1.853	2019
0000001111	7.5	25.6	1.442	2019
0000001110	5.5	27.9	1.682	2019
0000001110	5.5	27.4	1.641	2019
0000001111	5.5	29.9	2.226	2019
0000001110	8.5	27.3	1.602	2019
0000001110	8.5	28.5	2.129	2019
0000001110	7.5	27.1	1.676	2019
0000001110	7.5	27.5	1.637	2019
0000001110	6.5	28.7	2.038	2019
0000001010	5.5	29.8	2.753	2019
0000001100	6.5	29.8	2.314	2019
0000001111	6.5	28.9	2.392	2019
0000001100	8.5	27.5	1.636	2019
0000001000	6.5	29.1	2.231	2019
0000001111	5.5	31.2	2.388	2019
0000001110	5.5	28.3	1.888	2019
0000001111	6.5	29.3	2.144	2019
0000001111	8.5	29.5	2.218	2019
0000001110	5.5	24.4	1.134	2019
0000001000	5.5	28.6	1.976	2019
0000001100	5.5	25.9	1.592	2019
0000001110	7.5	28.4	2.806	2019
0000001100	7.5	27.5	1.672	2019
0000001001	7.5	24.2	1.239	2019
0000001110	7.5	27.2	1.715	2019
0000001101	6.5	29.3	2.243	2019
0000001111	6.5	31.1	2.87	2019
0000001110	6.5	30.1	2.537	2019
0000001010	5.5	29.7	1.894	2019
0000001011	5.5	28.2	1.81	2019
0000001110	6.5	30.7	2.545	2019
0000001100	5.5	25.8	1.527	2019
0000001100	7.5	27.7	1.866	2019
0000001101	6.5	27.6	1.997	2019
0000001111	8.5	25.3	1.328	2019
0000001110	6.5	27.5	1.835	2019
0000001111	6.5	27.7011185682327	1.88413199105145	2019
0000001110	5.5	26.9	1.614	2019
0000001010	6.5	29.1	2.299	2019
0000001110	6.5	31.7	2.955	2019
0000001110	5.5	28.2	1.808	2019
0000001110	5.5	26.3	1.473	2019
0000001101	5.5	25.9	1.257	2019
0000001100	6.5	27.9	1.661	2019
0000001111	6.5	30.2	2.591	2019
0000001100	7.5	26.5	1.8	2019
0000001110	6.5	28.2	1.829	2019
0000001100	6.5	29.5	2.309	2019
0000001100	5.5	28.8	1.832	2019
0000001111	6.5	28.6	2.221	2019
0000001110	5.5	27.5	1.654	2019
0000001011	5.5	30.8	2.328	2019
0000001100	5.5	26.6	1.714	2019
0000001110	5.5	27	1.537	2019
0000001111	5.5	26.5	1.48	2019
0000001110	6.5	30.9	2.768	2019
0000001010	6.5	29.5	2.227	2019
0000001110	6.5	23.3	1.043	2019
0000001010	6.5	27.5	1.864	2019
0000001111	5.5	28.1	2.003	2019
0000001110	5.5	30.2	2.399	2019
0000001100	7.5	25.8	1.466	2019
0000001011	8.5	26.1	1.498	2019
0000001000	5.5	29.2	2.097	2019
0000001110	8.5	23.4	1.089	2019
0000001110	6.5	31.3	3.006	2019
0000001100	5.5	27.2	1.694	2019
0000001110	5.5	26.6	1.331	2019
0000001111	6.5	29.3	2.182	2019
0000001111	5.5	28.4	1.941	2019
0000001110	5.5	27.9	1.793	2019
0000001111	5.5	27.6	1.709	2019
0000001100	5.5	25.4	1.266	2019
0000001101	6.5	29.7	2.366	2019
0000001101	5.5	29.2	2.186	2019
0000001000	5.5	26.8	1.518	2019
0000001110	5.5	26.4	1.494	2019
0000001100	5.5	25.7	1.52	2019
0000001110	5.5	26.6	1.729	2019
0000001111	5.5	28.4	1.872	2019
0000001101	5.5	31.1	2.588	2019
0000001011	6.5	30.1	2.624	2019
0000001111	5.5	26.2	2.053	2019
0000001111	6.5	26.5	1.762	2019
0000001111	5.5	30.4	2.4	2019
0000001111	6.5	28.9	2.002	2019
0000001110	6.5	27.5	2.088	2019
0000001000	5.5	28.7	2.017	2019
0000001010	6.5	30.1	2.502	2019
0000001110	5.5	25.5	1.216	2019
0000001110	5.5	29.1	1.967	2019
0000001101	5.5	25.9	1.455	2019
0000001010	5.5	31.2	2.707	2019
0000001101	5.5	26.4	1.561	2019
0000001100	5.5	30.5	2.442	2019
0000001010	5.5	28.8	1.741	2019
0000001101	5.5	26.3	1.672	2019
0000001110	6.5	29.8	2.298	2019
0000001101	5.5	28.2	1.707	2019
0000001110	5.5	25.8	1.432	2019
0000001101	6.5	30.7	2.724	2019
0000001111	6.5	27.8	1.979	2019
0000001110	5.5	26.2	1.432	2019
0000001110	5.5	25.6	1.334	2019
0000001111	6.5	26.6	1.602	2019
0000001111	5.5	27.1	1.476	2019
0000001110	5.5	26.7	1.473	2019
0000001000	6.5	25.3	1.342	2019
0000001011	6.5	28.3	2.055	2019
0000001111	5.5	27.6	1.769	2019
0000001101	6.5	26.7	1.739	2019
0000001100	5.5	25.5	1.257	2019
0000001111	6.5	27.8	1.982	2019
0000001110	5.5	25.6	1.371	2019
0000001101	6.5	28.5	2.138	2019
0000001100	5.5	28.1	1.675	2019
0000001110	5.5	26.8	1.649	2019
0000001110	5.5	29.5	2.209	2019
0000001101	5.5	25.3	1.251	2019
0000001110	6.5	29.8	2.289	2019
0000001101	5.5	25.9	1.543	2019
0000001100	5.5	27.9	1.673	2019
